;a;b;di;ht;lev;rh;rmse;spd
76;-9999;-9999;-9999;0.188422035166;0.5;19.1242717786;-9999;-9999
77;-9999;-9999;-9999;0.191170139582;0.5;19.3742622594;-9999;-9999
78;-9999;-9999;-9999;0.193925600499;0.5;19.6242527401;-9999;-9999
79;-9999;-9999;-9999;0.196688417909;0.5;19.8742432209;-9999;-9999
80;-9999;-9999;-9999;0.199458591804;0.5;20.1242337017;-9999;-9999
81;-9999;-9999;-9999;0.202236122179;0.5;20.3742241824;-9999;-9999
82;-9999;-9999;-9999;0.205021009026;0.5;20.6242146632;-9999;-9999
83;-9999;-9999;-9999;0.207813252338;0.5;20.874205144;-9999;-9999
84;-9999;-9999;-9999;0.210612852108;0.5;21.1241956247;-9999;-9999
85;-9999;-9999;-9999;0.213419808328;0.5;21.3741861055;-9999;-9999
86;-9999;-9999;-9999;0.21623412099;0.5;21.6241765863;-9999;-9999
87;-9999;-9999;-9999;0.219055790087;0.5;21.874167067;-9999;-9999
88;-9999;-9999;-9999;0.221884815614;0.5;22.1241575478;-9999;-9999
89;-9999;-9999;-9999;0.224721197561;0.5;22.3741480286;-9999;-9999
90;-9999;-9999;-9999;0.227564935922;0.5;22.6241385093;-9999;-9999
91;-9999;-9999;-9999;0.230416030689;0.5;22.8741289901;-9999;-9999
92;-9999;-9999;-9999;0.233274481854;0.5;23.1241194709;-9999;-9999
93;-9999;-9999;-9999;0.236140289411;0.5;23.3741099516;-9999;-9999
94;-9999;-9999;-9999;0.239013453353;0.5;23.6241004324;-9999;-9999
95;-9999;-9999;-9999;0.241893973669;0.5;23.8740909132;-9999;-9999
96;-9999;-9999;-9999;0.244781850355;0.5;24.1240813939;-9999;-9999
97;-9999;-9999;-9999;0.247677083404;0.5;24.3740718747;-9999;-9999
98;-9999;-9999;-9999;0.250579672806;0.5;24.6240623555;-9999;-9999
99;-9999;-9999;-9999;0.253489618552;0.5;24.8740528362;-9999;-9999
100;-9999;-9999;-9999;0.25640692064;0.5;25.124043317;-9999;-9999
101;-9999;-9999;-9999;0.259331579056;0.5;25.3740337978;-9999;-9999
102;-9999;-9999;-9999;0.262263593799;0.5;25.6240242785;-9999;-9999
103;-9999;-9999;-9999;0.265202964856;0.5;25.8740147593;-9999;-9999
104;-9999;-9999;-9999;0.268149692223;0.5;26.1240052401;-9999;-9999
105;-9999;-9999;-9999;0.271103775889;0.5;26.3739957208;-9999;-9999
106;-9999;-9999;-9999;0.274065215848;0.5;26.6239862016;-9999;-9999
107;-9999;-9999;-9999;0.277034012093;0.5;26.8739766823;-9999;-9999
108;-9999;-9999;-9999;0.280010164615;0.5;27.1239671631;-9999;-9999
109;-9999;-9999;-9999;0.282993673409;0.5;27.3739576439;-9999;-9999
110;-9999;-9999;-9999;0.285984538463;0.5;27.6239481246;-9999;-9999
111;-9999;-9999;-9999;0.288982759772;0.5;27.8739386054;-9999;-9999
112;-9999;-9999;-9999;0.291988337329;0.5;28.1239290862;-9999;-9999
113;-9999;-9999;-9999;0.295001271123;0.5;28.3739195669;-9999;-9999
114;-9999;-9999;-9999;0.298021561148;0.5;28.6239100477;-9999;-9999
115;-9999;-9999;-9999;0.301049207397;0.5;28.8739005285;-9999;-9999
116;-9999;-9999;-9999;0.30408420986;0.5;29.1238910092;-9999;-9999
117;-9999;-9999;-9999;0.307126568532;0.5;29.37388149;-9999;-9999
118;-9999;-9999;-9999;0.310176283403;0.5;29.6238719708;-9999;-9999
119;-9999;-9999;-9999;0.313233354464;0.5;29.8738624515;-9999;-9999
120;-9999;-9999;-9999;0.31629778171;0.5;30.1238529323;-9999;-9999
121;-9999;-9999;-9999;0.319369565132;0.5;30.3738434131;-9999;-9999
122;-9999;-9999;-9999;0.322448704721;0.5;30.6238338938;-9999;-9999
123;-9999;-9999;-9999;0.325535200469;0.5;30.8738243746;-9999;-9999
124;-9999;-9999;-9999;0.32862905237;0.5;31.1238148554;-9999;-9999
125;-9999;-9999;-9999;0.331730260414;0.5;31.3738053361;-9999;-9999
126;-9999;-9999;-9999;0.334838824594;0.5;31.6237958169;-9999;-9999
127;-9999;-9999;-9999;0.3379547449;0.5;31.8737862977;-9999;-9999
128;-9999;-9999;-9999;0.341078021327;0.5;32.1237767784;-9999;-9999
129;-9999;-9999;-9999;0.344208653865;0.5;32.3737672592;-9999;-9999
130;-9999;-9999;-9999;0.347346642506;0.5;32.62375774;-9999;-9999
131;-9999;-9999;-9999;0.350491987241;0.5;32.8737482207;-9999;-9999
132;-9999;-9999;-9999;0.353644688064;0.5;33.1237387015;-9999;-9999
133;-9999;-9999;-9999;0.356804744964;0.5;33.3737291823;-9999;-9999
134;-9999;-9999;-9999;0.359972157936;0.5;33.623719663;-9999;-9999
135;-9999;-9999;-9999;0.363146926969;0.5;33.8737101438;-9999;-9999
136;-9999;-9999;-9999;0.366329052058;0.5;34.1237006246;-9999;-9999
137;-9999;-9999;-9999;0.369518533191;0.5;34.3736911053;-9999;-9999
138;-9999;-9999;-9999;0.372715370362;0.5;34.6236815861;-9999;-9999
139;-9999;-9999;-9999;0.375919563561;0.5;34.8736720669;-9999;-9999
140;-9999;-9999;-9999;0.379131112782;0.5;35.1236625476;-9999;-9999
141;-9999;-9999;-9999;0.382350018015;0.5;35.3736530284;-9999;-9999
142;-9999;-9999;-9999;0.385576279252;0.5;35.6236435092;-9999;-9999
143;-9999;-9999;-9999;0.388809896485;0.5;35.8736339899;-9999;-9999
144;-9999;-9999;-9999;0.392050869705;0.5;36.1236244707;-9999;-9999
145;-9999;-9999;-9999;0.395299198904;0.5;36.3736149515;-9999;-9999
146;-9999;-9999;-9999;0.398554884072;0.5;36.6236054322;-9999;-9999
147;-9999;-9999;-9999;0.401817925203;0.5;36.873595913;-9999;-9999
148;-9999;-9999;-9999;0.405088322288;0.5;37.1235863938;-9999;-9999
149;-9999;-9999;-9999;0.408366075319;0.5;37.3735768745;-9999;-9999
150;-9999;-9999;-9999;0.411651184284;0.5;37.6235673553;-9999;-9999
151;-9999;-9999;-9999;0.414943649177;0.5;37.8735578361;-9999;-9999
152;-9999;-9999;-9999;0.418243469992;0.5;38.1235483168;-9999;-9999
153;-9999;-9999;-9999;0.421550646715;0.5;38.3735387976;-9999;-9999
