;a;b;di;elev;ht;rh;rmse;rs;spd
187;-9999;-9999;-9999;0.5;0.538371359802;46.8732151436;-9999;-9999;-9999
188;-9999;-9999;-9999;0.5;0.541935987854;47.1232056244;-9999;-9999;-9999
189;-9999;-9999;-9999;0.5;0.545507971499;47.3731961052;-9999;-9999;-9999
190;-9999;-9999;-9999;0.5;0.549087310721;47.6231865859;-9999;-9999;-9999
191;-9999;-9999;-9999;0.5;0.552674005516;47.8731770667;-9999;-9999;-9999
192;-9999;-9999;-9999;0.5;0.556268055872;48.1231675475;-9999;-9999;-9999
193;-9999;-9999;-9999;0.5;0.55986946178;48.3731580282;-9999;-9999;-9999
194;-9999;-9999;-9999;0.5;0.563478223232;48.623148509;-9999;-9999;-9999
195;-9999;-9999;-9999;0.5;0.567094340215;48.8731389898;-9999;-9999;-9999
196;-9999;-9999;-9999;0.5;0.570717812725;49.1231294705;-9999;-9999;-9999
197;-9999;-9999;-9999;0.5;0.574348640748;49.3731199513;-9999;-9999;-9999
198;-9999;-9999;-9999;0.5;0.577986824277;49.6231104321;-9999;-9999;-9999
199;-9999;-9999;-9999;0.5;0.581632363301;49.8731009128;-9999;-9999;-9999
200;-9999;-9999;-9999;0.5;0.585285257814;50.1230913936;-9999;-9999;-9999
201;-9999;-9999;-9999;0.5;0.588945507801;50.3730818744;-9999;-9999;-9999
202;-9999;-9999;-9999;0.5;0.592613113256;50.6230723551;-9999;-9999;-9999
203;-9999;-9999;-9999;0.5;0.59628807417;50.8730628359;-9999;-9999;-9999
204;-9999;-9999;-9999;0.5;0.599970390531;51.1230533167;-9999;-9999;-9999
205;-9999;-9999;-9999;0.5;0.603660062332;51.3730437974;-9999;-9999;-9999
206;-9999;-9999;-9999;0.5;0.607357089561;51.6230342782;-9999;-9999;-9999
207;-9999;-9999;-9999;0.5;0.611061472209;51.873024759;-9999;-9999;-9999
208;-9999;-9999;-9999;0.5;0.614773210269;52.1230152397;-9999;-9999;-9999
209;-9999;-9999;-9999;0.5;0.618492303727;52.3730057205;-9999;-9999;-9999
210;-9999;-9999;-9999;0.5;0.622218752578;52.6229962013;-9999;-9999;-9999
211;-9999;-9999;-9999;0.5;0.625952556808;52.872986682;-9999;-9999;-9999
212;-9999;-9999;-9999;0.5;0.629693716412;53.1229771628;-9999;-9999;-9999
213;-9999;-9999;-9999;0.5;0.633442231374;53.3729676436;-9999;-9999;-9999
214;-9999;-9999;-9999;0.5;0.637198101689;53.6229581243;-9999;-9999;-9999
215;-9999;-9999;-9999;0.5;0.640961327346;53.8729486051;-9999;-9999;-9999
216;-9999;-9999;-9999;0.5;0.644731908338;54.1229390858;-9999;-9999;-9999
217;-9999;-9999;-9999;0.5;0.64850984465;54.3729295666;-9999;-9999;-9999
218;-9999;-9999;-9999;0.5;0.652295136273;54.6229200474;-9999;-9999;-9999
219;-9999;-9999;-9999;0.5;0.656087783202;54.8729105281;-9999;-9999;-9999
220;-9999;-9999;-9999;0.5;0.659887785423;55.1229010089;-9999;-9999;-9999
221;-9999;-9999;-9999;0.5;0.663695142926;55.3728914897;-9999;-9999;-9999
222;-9999;-9999;-9999;0.5;0.667509855704;55.6228819704;-9999;-9999;-9999
223;-9999;-9999;-9999;0.5;0.671331923744;55.8728724512;-9999;-9999;-9999
224;-9999;-9999;-9999;0.5;0.675161347039;56.122862932;-9999;-9999;-9999
225;-9999;-9999;-9999;0.5;0.678998125577;56.3728534127;-9999;-9999;-9999
226;-9999;-9999;-9999;0.5;0.682842259346;56.6228438935;-9999;-9999;-9999
227;-9999;-9999;-9999;0.5;0.686693748341;56.8728343743;-9999;-9999;-9999
228;-9999;-9999;-9999;0.5;0.690552592549;57.122824855;-9999;-9999;-9999
229;-9999;-9999;-9999;0.5;0.69441879196;57.3728153358;-9999;-9999;-9999
230;-9999;-9999;-9999;0.5;0.698292346566;57.6228058166;-9999;-9999;-9999
231;-9999;-9999;-9999;0.5;0.702173256352;57.8727962973;-9999;-9999;-9999
232;-9999;-9999;-9999;0.5;0.706061521314;58.1227867781;-9999;-9999;-9999
233;-9999;-9999;-9999;0.5;0.709957141438;58.3727772589;-9999;-9999;-9999
234;-9999;-9999;-9999;0.5;0.713860116715;58.6227677396;-9999;-9999;-9999
235;-9999;-9999;-9999;0.5;0.717770447136;58.8727582204;-9999;-9999;-9999
236;-9999;-9999;-9999;0.5;0.721688132689;59.1227487012;-9999;-9999;-9999
237;-9999;-9999;-9999;0.5;0.725613173367;59.3727391819;-9999;-9999;-9999
238;-9999;-9999;-9999;0.5;0.729545569155;59.6227296627;-9999;-9999;-9999
239;-9999;-9999;-9999;0.5;0.733485320045;59.8727201435;-9999;-9999;-9999
240;-9999;-9999;-9999;0.5;0.737432426027;60.1227106242;-9999;-9999;-9999
241;-9999;-9999;-9999;0.5;0.741386887092;60.372701105;-9999;-9999;-9999
242;-9999;-9999;-9999;0.5;0.745348703227;60.6226915858;-9999;-9999;-9999
243;-9999;-9999;-9999;0.5;0.749317874424;60.8726820665;-9999;-9999;-9999
244;-9999;-9999;-9999;0.5;0.753294400673;61.1226725473;-9999;-9999;-9999
245;-9999;-9999;-9999;0.5;0.757278281959;61.3726630281;-9999;-9999;-9999
246;-9999;-9999;-9999;0.5;0.761269518278;61.6226535088;-9999;-9999;-9999
247;-9999;-9999;-9999;0.5;0.765268109615;61.8726439896;-9999;-9999;-9999
248;-9999;-9999;-9999;0.5;0.769274055963;62.1226344704;-9999;-9999;-9999
249;-9999;-9999;-9999;0.5;0.77328735731;62.3726249511;-9999;-9999;-9999
250;-9999;-9999;-9999;0.5;0.777308013645;62.6226154319;-9999;-9999;-9999
251;-9999;-9999;-9999;0.5;0.781336024958;62.8726059127;-9999;-9999;-9999
252;-9999;-9999;-9999;0.5;0.785371391239;63.1225963934;-9999;-9999;-9999
253;-9999;-9999;-9999;0.5;0.789414112478;63.3725868742;-9999;-9999;-9999
254;-9999;-9999;-9999;0.5;0.793464188662;63.622577355;-9999;-9999;-9999
255;-9999;-9999;-9999;0.5;0.797521619783;63.8725678357;-9999;-9999;-9999
256;-9999;-9999;-9999;0.5;0.801586405831;64.1225583165;-9999;-9999;-9999
257;-9999;-9999;-9999;0.5;0.805658546791;64.3725487973;-9999;-9999;-9999
258;-9999;-9999;-9999;0.5;0.809738042657;64.622539278;-9999;-9999;-9999
259;-9999;-9999;-9999;0.5;0.813824893417;64.8725297588;-9999;-9999;-9999
260;-9999;-9999;-9999;0.5;0.817919099061;65.1225202396;-9999;-9999;-9999
261;-9999;-9999;-9999;0.5;0.822020659578;65.3725107203;-9999;-9999;-9999
