"","lon","lat","h"
"2222",295.821034482759,-36.745,162
"2223",295.837816091954,-36.745,166
"2224",295.854597701149,-36.745,168
"2225",295.871379310345,-36.745,168
"2226",295.88816091954,-36.745,179
"2227",295.904942528736,-36.745,181
"2228",295.921724137931,-36.745,176
"2229",295.938505747126,-36.745,159
"2230",295.955287356322,-36.745,145
"2231",295.972068965517,-36.745,129
"2232",295.988850574713,-36.745,133
"2233",296.005632183908,-36.745,137
"2234",296.022413793103,-36.745,138
"2235",296.039195402299,-36.745,141
"2236",296.055977011494,-36.745,143
"2237",296.07275862069,-36.745,141
"2238",296.089540229885,-36.745,139
"2239",296.10632183908,-36.745,140
"2240",296.123103448276,-36.745,139
"2241",296.139885057471,-36.745,136
"2242",296.156666666667,-36.745,130
"2243",295.183333333333,-36.7616666666667,303
"2244",295.200114942529,-36.7616666666667,271
"2245",295.216896551724,-36.7616666666667,246
"2246",295.23367816092,-36.7616666666667,253
"2247",295.250459770115,-36.7616666666667,282
"2248",295.26724137931,-36.7616666666667,295
"2249",295.284022988506,-36.7616666666667,293
"2250",295.300804597701,-36.7616666666667,288
"2251",295.317586206897,-36.7616666666667,267
"2252",295.334367816092,-36.7616666666667,230
"2253",295.351149425287,-36.7616666666667,188
"2254",295.367931034483,-36.7616666666667,185
"2255",295.384712643678,-36.7616666666667,202
"2256",295.401494252874,-36.7616666666667,227
"2257",295.418275862069,-36.7616666666667,236
"2258",295.435057471264,-36.7616666666667,249
"2259",295.45183908046,-36.7616666666667,250
"2260",295.468620689655,-36.7616666666667,244
"2261",295.485402298851,-36.7616666666667,249
"2262",295.502183908046,-36.7616666666667,241
"2263",295.518965517241,-36.7616666666667,232
"2264",295.535747126437,-36.7616666666667,218
"2265",295.552528735632,-36.7616666666667,203
"2266",295.569310344828,-36.7616666666667,185
"2267",295.586091954023,-36.7616666666667,167
"2268",295.602873563218,-36.7616666666667,152
"2269",295.619655172414,-36.7616666666667,144
"2270",295.636436781609,-36.7616666666667,176
"2271",295.653218390805,-36.7616666666667,198
"2272",295.67,-36.7616666666667,199
"2273",295.686781609195,-36.7616666666667,200
